Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,519,44991,32253,12738,2.532030146019783,0.33470216707210926,0.21083533981164843
1.0,0.3,519,38498,28321,10177,2.7828436670924632,0.28639870258367367,0.2387823131771845
1.0,0.25,519,36782,27196,9586,2.8370540371374924,0.27363284010682853,0.24581805468108828
1.0,0.2,519,34434,25633,8801,2.9125099420520395,0.25616533130984,0.25576546327986394
1.0,0.15,519,31424,23566,7858,2.9989819292440822,0.23377299677877714,0.2684176274556767
1.0,0.1,519,27046,20525,6521,3.147523385983745,0.2012036809724671,0.2886494363426455
1.0,0.05,519,20864,15969,4895,3.262308478038815,0.15521384307511474,0.31542103428694096
1.0,0.01,519,11960,9145,2815,3.2486678507992894,0.0889741930204358,0.3511914887209687
0.3,1.0,519,7124,5881,1243,4.731295253419147,0.05299767149478132,0.43990570267659945
0.3,0.3,519,7124,5881,1243,4.731295253419147,0.05299767149478132,0.43990570267659945
0.3,0.25,519,7124,5881,1243,4.731295253419147,0.05299767149478132,0.43990570267659945
0.3,0.2,519,7120,5879,1241,4.737308622078968,0.05296791423959054,0.44015284071181104
0.3,0.15,519,7089,5862,1227,4.777506112469438,0.05273729551186199,0.44187692566214193
0.3,0.1,519,6954,5769,1185,4.868354430379747,0.05173298814917312,0.4469641245373969
0.3,0.05,519,6573,5482,1091,5.024747937671861,0.04889860959225121,0.4586122475551586
0.3,0.01,519,5014,4176,838,4.983293556085919,0.03730071938164424,0.48512243637565594
0.25,1.0,519,5477,4581,896,5.112723214285714,0.04074512166997716,0.46952307307228947
0.25,0.3,519,5477,4581,896,5.112723214285714,0.04074512166997716,0.46952307307228947
0.25,0.25,519,5477,4581,896,5.112723214285714,0.04074512166997716,0.46952307307228947
0.25,0.2,519,5477,4581,896,5.112723214285714,0.04074512166997716,0.46952307307228947
0.25,0.15,519,5471,4579,892,5.133408071748879,0.04070048578719099,0.4702092783962559
0.25,0.1,519,5412,4537,875,5.185142857142857,0.040261566273126964,0.4730028289243697
0.25,0.05,519,5186,4365,821,5.316686967113276,0.038580281354847826,0.4818278016765944
0.25,0.01,519,4183,3500,683,5.124450951683748,0.03111864961575944,0.49929521397606824
0.2,1.0,518,4375,3672,703,5.223328591749644,0.03267290501333055,0.49066667671543274
0.2,0.3,518,4375,3672,703,5.223328591749644,0.03267290501333055,0.49066667671543274
0.2,0.25,518,4375,3672,703,5.223328591749644,0.03267290501333055,0.49066667671543274
0.2,0.2,518,4375,3672,703,5.223328591749644,0.03267290501333055,0.49066667671543274
0.2,0.15,518,4375,3672,703,5.223328591749644,0.03267290501333055,0.49066667671543274
0.2,0.1,518,4361,3661,700,5.23,0.032568351717287884,0.49132184161255404
0.2,0.05,518,4233,3569,664,5.375,0.031612435867755015,0.4987619833643147
